Id;Label;Her-Arb;G-ID;Lat;Lon
1;Region Surselva;1;11611648;46.69564;9.04834
2;Albula Region;1;11611653;46.60255;9.6515
3;Region Pr\u00e4ttigau / Davos;1;11611654;46.86727;9.82014
4;Region Viamala;1;11611649;46.58762;9.40035
5;Region Imboden;1;11611652;46.84876;9.36225
6;Appenzell Inner Rhodes;1;6458743;47.34133;9.43058
7;Region Plessur;1;11611651;46.81819;9.62542
8;Region Landquart;1;11611655;46.96403;9.56365
9;Region Engiadina Bassa / Val M\u00fcstair;1;11611650;46.75212;10.26032
10;Bezirk Vorderland;1;6458863;47.44167;9.53869
11;Region Moesa;1;11611657;46.352;9.1787
12;Bezirk Hinterland;1;6458837;47.3647;9.2735
13;Bezirk Mittelland;1;6458830;47.377;9.43469
14;Politischer Bezirk Bregenz;1;2781502;47.42069;9.91989
15;Politischer Bezirk Dornbirn;1;2780740;47.38349;9.7494
16;Bludenz District;1;2781679;47.15144;9.82452
17;Feldkirch District;1;2779673;47.25535;9.5836
18;Landeck;1;2773069;47.12575;10.56679
19;Politischer Bezirk Schwaz;1;2765389;47.26667;11.76667
20;Politischer Bezirk Kufstein;1;2773299;47.5;1203333
21;Politischer Bezirk Kitzb\u00fchel;1;2774346;47.43333;1238.333
22;Politischer Bezirk Imst;1;2775306;47.08333;10.86667
23;Politischer Bezirk Innsbruck Land;1;2775219;47.2;11.33333
24;South Tyrol;1;3181912;46.71667;45057
25;Province of Trente;1;3165241;46.06966;11.12177
26;Bezirk Baden;1;6458813;47.4566;8.30059
27;Politischer Bezirk Reutte;1;2767510;47.41667;20363
28;Landkreis Alt\u00f6tting;1;3220817;48.21139;1272722
29;Politischer Bezirk Gmunden;1;2778435;47.75;13.75
30;Leoben District;1;2772648;47.41667;149.1667
31;Innsbruck Stadt;1;2775216;47.28433;11.37706
32;Salzburg Stadt;1;2766818;47.80067;1304532
33;Politischer Bezirk Lienz;1;2772504;46.9;45058
34;Landkreis Ravensburg;2;3220791;47.82917;9.79528
35;Landkreis Unterallg\u00e4u;2;3220889;48.06222;10.40917
36;Landkreis Ostallg\u00e4u;2;3220888;47.82833;10.63639
37;Landkreis Oberallg\u00e4u;2;2861443;47.61028;10.26472
38;Bodenseekreis;2;2947109;47.72694;9.38528
39;Landkreis Bamberg;2;3220844;49.91796;10.87492
40;Landkreis Weilheim-Schongau;2;3220842;47.81222;11.05528
41;Landkreis Kelheim;2;3220809;48.84028;11.89806
42;Stadtkreis Heidelberg;2;3220720;49.41056;8.69556
43;Landkreis Konstanz;2;2885678;47.80694;8.87694
44;Landkreis Starnberg;2;2829456;48.015;11.29583
45;Ostalbkreis;2;2856827;48.87444;10.0975
46;Landkreis Rosenheim;2;3220840;47.88028;43070
47;Landkreis Dillingen an der Donau;2;2936975;48.60472;10.5325
48;Landkreis Lindau;2;3220885;47.57004;9.72702
49;Landkreis Reutlingen;2;3220792;48.40333;9.38056
50;Landkreis Breisgau-Hochschwarzwald;2;2944796;47.96806;79.6611
51;Landkreis Augsburg;2;3220871;48.3525;10.71056
52;Landkreis Sigmaringen;2;3220793;48.03611;9.23278
53;Politischer Bezirk Bregenz;2;2781502;47.42069;9.91989
54;Landkreis Biberach;2;3220790;48.10389;9.77056
55;Freiburg im Breisgau;2;3214107;48.00806;7.8325
