Bregenz,47.5055704995005, 9.741516097780073,2
Dornbirn,47.41225550339595, 9.742889388714717,2
Götzis,47.33458683543348, 9.640128611211013,2
Feldkirch,47.241267114001396, 9.599665100124607,2
Frastanz,47.21727101876251, 9.630784579114222,2
Satteins,47.22599683886268, 9.670901426570797,2
Röns,47.21610665215496, 9.698576741306875,2
Schnifis,47.21420240162573, 9.72911456092737,1
Lindau,47.553221875210035, 9.690781551514872,2
Rorschach,47.478769202534764, 9.491995307585114,2
Friedrichshafen,47.6569028350956, 9.46616009681598,2
Ravensburg,47.78590398877996, 9.610509874987894,2
Tettnang,47.66898262888121, 9.591051297387459
Teuringen,47.72559917676343, 9.470938393964184,2
Ailingen,47.689499262993955, 9.48930356556243,2
Jettenhausen,47.67042618830335, 9.473575676481175
Berg,47.68289324494223, 9.466028659175334,1

