Arbeit: Gem. alt,Dienste VB/Tirol Ges.,Dienste DB Ges.,Lat,Lon
~Kißlegg~,7,15,47.78894,9.88383
~Wangen im Allgäu~,10,10,47.6895,9.83247
Achberg,42,46,47.61989,9.714
Ailingen,156,228,47.68333,9.5
Altmannshofen,80,92,47.88749,10.0491
Amtzell,130,132,47.7,9.75
Arnach,8,8,47.85368,9.8986
Aulendorf,8,14,47.95083,9.63745
Berg,33,34,47.81667,9.6
Berg (heute Friedrichshafen),1,1,47.6824,9.46582
Beuren,6,7,47.7425,10.0118
Blitzenreute,76,106,47.86385,9.58798
Bodnegg,31,32,47.71014,9.68841
Deggenhausen,4,5,47.80393,9.38267
Deuchelried,116,118,47.69441,9.85091
Diepoldshofen,100,200,47.84569,9.94633
Dietmanns,6,6,47.93889,9.93351
Ebersbach-Musbach,1,3,47.96667,9.58333
Eglofs,164,196,47.66251,9.93118
Eichstegen,13,13,47.93333,9.5
Eisenharz,15,26,47.68866,9.95772
Emmelhofen,195,347,47.79497,9.89593
Eriskirch,132,140,47.62479,9.54197
Eschach,113,150,47.73333,9.6
Esenhausen,55,61,47.86393,9.44187
Frickingen,2,2,47.81438,9.27349
Fronhofen,7,8,47.86191,9.518981
Gebrazhofen,123,143,47.78717,9.95317
Grünkraut,4,5,47.74417,9.65588
Guggenhausen,29,30,47.9,9.45
Hasenweiler,64,73,47.83357,9.46144
Hauerz,17,17,47.95018,9.9863
Hergatz,2,2,47.65,9.83333
Herlazhofen,48,79,47.79287,10.01391
Immenried,19,38,47.83455,9.87547
Isny,2,2,47.6926,10.03858
Kappel,31,46,47.77125,9.4495
Langenargen,53,80,47.59858,9.54163
Leupolz,393,432,47.74971,9.82425
Leutkirch,14,14,47.82672,10.0205
Lindau,2,2,47.54612,9.68431
Markdorf,109,154,47.71916,9.39028
Meckenbeuren,19,21,47.7,9.56667
Meersburg,14,18,47.69419,9.27113
Mittelbiberach,1,1,48.08333,9.75
Neukirch,14,24,47.6573,9.70333
Neuravensburg,171,297,47.64058,9.7623
Neutrauchburg,2,2,47.70834,10.03512
Niederwangen,279,368,47.67192,9.7988
Oberteuringen,6,7,47.72409,9.46979
Pfrungen,58,58,47.87259,9.39856
Ratzenried,192,198,47.721,9.90064
Ravensburg,2,2,47.78198,9.61062
Reichenhofen,143,196,47.84662,9.9676
Rohrdorf,2,3,47.72623,10.08092
Salem,29,29,47.76258,9.29031
Schlier,21,25,47.77004,9.67354
Schmalegg,13,24,47.80239,9.54313
Schomburg,26,35,47.68205,9.75714
Schwäbisch-Gmünd,1,1,48.79947,9.79809
Sommersried,143,145,47.74713,9.85141
Tettnang,66,75,47.66857,9.59132
Überlingen,81,123,47.76977,9.17136
Unterschwarzach,0,8,47.94989,9.8736
Unterwaldhausen,17,18,47.9,9.46667
Urnau,1,1,47.76344,9.43139
Vogt,58,152,47.76667,9.76667
Waldburg,35,53,47.74778,9.7219
Wasserburg,1,1,47.57223,9.63215
Wiggenreute,19,20,47.80798,9.85918
Wilhelmsdorf,6,8,47.86612,9.42621
Winterstetten,1,6,47.76374,10.09969
Wolfegg,33,98,47.8203,9.79491
Wolketsweiler,25,32,47.77963,9.49773
Wuchzenhofen,203,216,47.81014,10.0739
Zogenweiler,105,144,47.83355,9.50201
Zußdorf,176,190,47.84893,9.43139
