Herkunft: Gem. heute,Tiroler Volksbote 1895 (zu Gem.),Herkunft: Lat. Visualisierung,Herkunft: Lon. Visualisierung
Arzl im Pitztal,4,47.1893,10.76402
Borgo Chiese,2,45.90089,10.57122
Fließ,14,47.11667,10.61667
Galtür,1,46.96667,10.18333
Glurns (Glorenza),2,46.67021,10.55485
Graun im Vinschgau (Curon Venosta),15,46.80832,10.54265
Grins,1,47.14034,10.51409
Haiming,6,47.21667,10.86667
Imst,1,47.24504,10.73974
Ischgl,5,47.01257,10.29179
Kauns,2,47.07822,10.69219
Laas (Lasa),3,46.61661,10.70016
Mals (Malles Venosta),10,46.68791,10.54655
Nauders,10,46.88859,10.50126
Pettneu am Arlberg,3,47.13567,10.34754
Pfunds,36,46.96667,10.55
Pians,2,47.13486,10.51237
Prutz,6,47.08333,10.66667
Schönwies,10,47.19665,10.65742
See,2,47.08333,10.46667
Serfaus,3,47.04018,10.60339
St. Anton am Arlberg,4,47.08257,10.22347
Stanz bei Landeck,5,47.15813,10.55278
Tarrenz,16,47.26667,10.76667
Tösens,9,47.0181,10.60678
Zams,13,47.15844,10.5897
