Alberschwende,47.45025,9.83152,1
Andelsbuch,47.41167,9.89326,3
Au (VB),47.32176,9.98067,14
Bezau,47.38478,9.90139,6
Bizau,47.36906,9.92839,13
Bludenz,47.15476,9.82255,6
Dalaas,47.12446,9.99104,1
Dornbirn,47.41427,9.74195,12
Egg,47.43154,9.89762,3
Feldkirch,47.23306,9.6,6
Frastanz,47.21735,9.62995,1
Götzis,47.33306,9.63306,9
Hard,47.48306,9.68306,2
Höchst,47.45934,9.6405,5
Innerbraz,47.15,9.91667,3
Klösterle,47.13333.10.08333,2
Lauterach,47.47572,9.72941,4
Lustenau,47.42642,9.65851,8
Mellau,47.35034,9.88149,2
Rankweil,47.27108,9.64308,11
Reuthe,47.37113,9.89481,2
Röthis,47.29332,9.65484,1
Schnepfau,47.35206,9.9452,3
Schoppernau,47.31205.10.01646,20
Schruns,47.08028,9.91917,2
Schwarzenberg,47.41415,9.85154,2
Sulz,47.28721,9.65183,2
Tschagguns,47.07391,9.90267,4
Vandans,47.09569,9.86525,4
Wolfurt,47.46667,9.75,1
Zwischenwasser,47.28296,9.65939,5

