title,latitude,longitude,number
Achberg,47.61989,9.714,46
Aichstetten,47.8973,10.0565,92
Allmannshofen,48.6167,10.8,2
Amtzell,47.7129,9.7623,132
Andelsbuch,47.4037,9.90295,2
Argenbühl,47.69789,9.94039,417
Aulendorf,47.9512,9.6351,14
Bad Wurzach,47.9082,9.89455,39
Berg,47.8167,9.6,34
Bodnegg,47.7167,9.68333,32
Deggenhausertal,47.78014,9.39773,6
Dillingen a.d.Donau,48.5777,10.5096,1
Ebersbach-Musbach,47.9667,9.58333,3
Eichstegen,47.9333,9.5,13
Eriskirch,47.62773,9.53058,140
Frickingen,47.8167,9.26667,2
Friedrichshafen,47.65442,9.47257,236
Fronreute,47.86748,9.55798,114
Grünkraut,47.75,9.65,5
Guggenhausen,47.9,9.45,30
Hergatz,47.65,9.83333,2
Hohenstein,48.3403,9.35987,1
Horgenzell,47.8,9.5,295
Isny im Allgäu,47.6884,10.04095,14
Kißlegg,47.78893,9.88023,567
Langenargen,47.59692,9.53968,80
Leutkirch im Allgäu,47.8184,9.9931,854
Lindau,47.57765,9.69199,2
Markdorf,47.7194,9.3952,147
Meckenbeuren,47.69085,9.55715,21
Meersburg,47.7,9.26667,18
Mittelbiberach,48.0833,9.75,1
Nesselwang,47.621,10.5039,9
Neukirch,47.6667,9.7,24
Oberteuringen,47.7167,9.46667,7
Ravensburg,47.78153,9.61835,176
Salem,47.76403,9.29598,29
Schlier,47.7718,9.6669,25
Schwäbisch Gmünd,48.7989,9.7989,1
Sulzberg,47.52405,9.91429,1
Tettnang,47.6689,9.5909,75
Überlingen,47.7683,9.17165,123
Unterwaldhausen,47.9,9.46667,18
Vogt,47.7862,9.7602,152
Waldburg,47.7667,9.71667,53
Waltenhofen,47.6667,10.3,1
Wangen im Allgäu,47.6939,9.829,1265
Wasserburg,47.57722,9.63945,1
Wilhelmsdorf,47.8667,9.41667,317
Wolfegg,47.8167,9.8,98
