Arbeit: Gem. alt,VB,Tirol,Südtirol/Trentino,Dienste VB/Tirol Ges.,Dienste DB Ges.,Arbeit: Gem. alt (Lat.),Arbeit: Gem. alt (Lon.)
~Kißlegg~,7,0,0,7,15,47.78894,9.88383
~Wangen im Allgäu~,10,0,0,10,10,47.6895,9.83247
Achberg,34,6,2,42,46,47.61989,9.714
Ailingen,54,67,35,156,228,47.68333,9.5
Altmannshofen,65,13,2,80,92,47.88749,10.0491
Amtzell,67,53,10,130,132,47.7,9.75
Arnach,2,2,4,8,8,47.85368,9.8986
Aulendorf,0,5,3,8,14,47.95083,9.63745
Berg,0,21,12,33,34,47.81667,9.6
Berg (heute Friedrichshafen),0,0,1,1,1,47.6824,9.46582
Beuren,6,0,0,6,7,47.7425,10.0118
Blitzenreute,17,42,17,76,106,47.86385,9.58798
Bodnegg,1,27,3,31,32,47.71014,9.68841
Deggenhausen,1,1,2,4,5,47.80393,9.38267
Deuchelried,110,6,0,116,118,47.69441,9.85091
Diepoldshofen,41,57,2,100,200,47.84569,9.94633
Dietmanns,2,2,2,6,6,47.93889,9.93351
Ebersbach-Musbach,0,1,0,1,3,47.96667,9.58333
Eglofs,161,2,1,164,196,47.88861,10.42439
Eichstegen,0,10,3,13,13,47.93333,9.5
Eisenharz,15,0,0,15,26,47.68866,9.95772
Emmelhofen,175,17,3,195,347,47.79497,9.89593
Eriskirch,1,107,24,132,140,47.62479,9.54197
Eschach,24,63,26,113,150,47.73333,9.6
Esenhausen,2,47,6,55,61,47.86393,9.44187
Frickingen,0,1,1,2,2,47.81438,9.27349
Fronhofen,3,4,0,7,8,47.86191,9.518981
Gebrazhofen,112,11,0,123,143,47.78717,9.95317
Grünkraut,0,3,1,4,5,47.74417,9.65588
Guggenhausen,1,17,11,29,30,47.9,9.45
Hasenweiler,5,45,14,64,73,47.83357,9.46144
Hauerz,16,1,0,17,17,47.95018,9.9863
Hergatz,2,0,0,2,2,47.65,9.83333
Herlazhofen,40,2,6,48,79,47.79287,10.01391
Immenried,17,1,1,19,38,47.83455,9.87547
Isny,2,0,0,2,2,47.6926,10.03858
Kappel,11,15,5,31,46,47.77125,9.4495
Langenargen,20,22,11,53,80,47.59858,9.54163
Leupolz,359,24,10,393,432,47.74971,9.82425
Leutkirch,14,0,0,14,14,47.82672,10.0205
Lindau,2,0,0,2,2,47.54612,9.68431
Markdorf,40,50,19,109,154,47.71916,9.39028
Meckenbeuren,2,15,2,19,21,47.7,9.56667
Meersburg,9,3,2,14,18,47.69419,9.27113
Mittelbiberach,1,0,0,1,1,48.08333,9.75
Neukirch,5,5,4,14,24,47.6573,9.70333
Neuravensburg,149,16,6,171,297,47.64058,9.7623
Neutrauchburg,0,2,0,2,2,47.70834,10.03512
Niederwangen,229,43,7,279,368,47.67192,9.7988
Oberteuringen,0,6,0,6,7,47.72409,9.46979
Pfrungen,8,41,9,58,58,47.87259,9.39856
Ratzenried,191,0,1,192,198,47.721,9.90064
Ravensburg,2,0,0,2,2,47.78198,9.61062
Reichenhofen,124,18,1,143,196,47.84662,9.9676
Rohrdorf,1,0,1,2,3,47.72623,10.08092
Salem,0,23,6,29,29,47.76258,9.29031
Schlier,1,16,4,21,25,47.77004,9.67354
Schmalegg,5,6,2,13,24,47.80239,9.54313
Schomburg,21,2,3,26,35,47.68205,9.75714
Schwäbisch-Gmünd,1,0,0,1,1,48.79947,9.79809
Sommersried,133,10,0,143,145,47.74713,9.85141
Tettnang,21,31,14,66,75,47.66857,9.59132
Überlingen,5,55,21,81,123,47.76977,9.17136
Unterschwarzach,0,0,0,0,8,47.94989,9.8736
Unterwaldhausen,0,9,8,17,18,47.9,9.46667
Urnau,1,0,0,1,1,47.76344,9.43139
Vogt,25,27,6,58,152,47.76667,9.76667
Waldburg,7,17,11,35,53,47.74778,9.7219
Waltenhofen,1,0,0,1,1,47.6667,10.3
Wasserburg,1,0,0,1,1,47.57223,9.63215
Wiggenreute,19,0,0,19,20,47.80798,9.85918
Wilhelmsdorf,3,1,2,6,8,47.86612,9.42621
Winterstetten,1,0,0,1,6,47.76374,10.09969
Wolfegg,11,19,3,33,98,47.8203,9.79491
Wolketsweiler,2,18,5,25,32,47.77963,9.49773
Wuchzenhofen,159,42,2,203,216,47.81014,10.0739
Zogenweiler,15,51,39,105,144,47.83355,9.50201
Zußdorf,8,125,43,176,190,47.84893,9.43139
